voter_id,lat,lng,geocode_source
347093,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200306458,41.148400,-111.033100,FALLBACK_CITY_CENTROID
79069,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200116903,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200295036,41.148400,-111.033100,FALLBACK_CITY_CENTROID
80490,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200307159,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200261767,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200192337,41.148400,-111.033100,FALLBACK_CITY_CENTROID
82380,41.148400,-111.033100,FALLBACK_CITY_CENTROID
68831,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200285718,41.148400,-111.033100,FALLBACK_CITY_CENTROID
73011,41.148400,-111.033100,FALLBACK_CITY_CENTROID
75016,41.148400,-111.033100,FALLBACK_CITY_CENTROID
600058067,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200285792,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200285631,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200285622,41.148400,-111.033100,FALLBACK_CITY_CENTROID
72478,41.148400,-111.033100,FALLBACK_CITY_CENTROID
72088,41.148400,-111.033100,FALLBACK_CITY_CENTROID
73582,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200218250,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200104690,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200235430,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200306224,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200008956,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200062592,41.148400,-111.033100,FALLBACK_CITY_CENTROID
369720,42.050000,-104.933300,FALLBACK_CITY_CENTROID
200099983,42.050000,-104.933300,FALLBACK_CITY_CENTROID
360517,41.792400,-107.228600,FALLBACK_CITY_CENTROID
360516,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200233969,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200157002,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200157044,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200280546,41.792400,-107.228600,FALLBACK_CITY_CENTROID
362716,41.792400,-107.228600,FALLBACK_CITY_CENTROID
359643,41.792400,-107.228600,FALLBACK_CITY_CENTROID
352138,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200224307,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200098527,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200279363,41.792400,-107.228600,FALLBACK_CITY_CENTROID
358716,41.792400,-107.228600,FALLBACK_CITY_CENTROID
359743,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200027570,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200146546,41.792400,-107.228600,FALLBACK_CITY_CENTROID
353115,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200259974,41.792400,-107.228600,FALLBACK_CITY_CENTROID
357761,41.792400,-107.228600,FALLBACK_CITY_CENTROID
357136,41.792400,-107.228600,FALLBACK_CITY_CENTROID
357135,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200182977,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200182956,41.792400,-107.228600,FALLBACK_CITY_CENTROID
359125,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200060604,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200195832,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200195857,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200129972,41.792400,-107.228600,FALLBACK_CITY_CENTROID
358909,41.792400,-107.228600,FALLBACK_CITY_CENTROID
358910,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200173979,41.792400,-107.228600,FALLBACK_CITY_CENTROID
359136,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200072544,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200233361,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200160971,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200072420,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200293638,41.792400,-107.228600,FALLBACK_CITY_CENTROID
236918,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200075716,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200023045,41.792400,-107.228600,FALLBACK_CITY_CENTROID
200306408,41.792400,-107.228600,FALLBACK_CITY_CENTROID
55078,41.792400,-107.228600,FALLBACK_CITY_CENTROID
357916,43.0760,-107.2903,FALLBACK_STATE_CENTROID
600060328,43.0760,-107.2903,FALLBACK_STATE_CENTROID
200308063,43.0760,-107.2903,FALLBACK_STATE_CENTROID
214446,44.400000,-104.383300,FALLBACK_CITY_CENTROID
200248091,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200286442,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200286476,44.526300,-109.253600,FALLBACK_CITY_CENTROID
265298,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200290675,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200290696,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200012203,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200012183,44.526300,-109.253600,FALLBACK_CITY_CENTROID
268756,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200011794,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200006125,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200089145,44.526300,-109.253600,FALLBACK_CITY_CENTROID
153487,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200040538,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200110677,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200194380,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200194395,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200293114,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600015615,44.526300,-109.253600,FALLBACK_CITY_CENTROID
260918,44.526300,-109.253600,FALLBACK_CITY_CENTROID
262852,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200247440,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200199310,41.591800,-109.212800,FALLBACK_CITY_CENTROID
336360,41.591800,-109.212800,FALLBACK_CITY_CENTROID
344937,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200128717,41.591800,-109.212800,FALLBACK_CITY_CENTROID
600056478,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200290727,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200176649,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200122178,41.591800,-109.212800,FALLBACK_CITY_CENTROID
200121450,41.591800,-109.212800,FALLBACK_CITY_CENTROID
345656,41.591800,-109.212800,FALLBACK_CITY_CENTROID
72175,41.148400,-111.033100,FALLBACK_CITY_CENTROID
72212,41.148400,-111.033100,FALLBACK_CITY_CENTROID
600019078,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200306222,41.148400,-111.033100,FALLBACK_CITY_CENTROID
81907,41.148400,-111.033100,FALLBACK_CITY_CENTROID
81949,41.148400,-111.033100,FALLBACK_CITY_CENTROID
69769,41.148400,-111.033100,FALLBACK_CITY_CENTROID
78646,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200261836,41.148400,-111.033100,FALLBACK_CITY_CENTROID
78744,41.148400,-111.033100,FALLBACK_CITY_CENTROID
69842,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200275508,41.148400,-111.033100,FALLBACK_CITY_CENTROID
600052192,41.148400,-111.033100,FALLBACK_CITY_CENTROID
600048720,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200306088,41.148400,-111.033100,FALLBACK_CITY_CENTROID
200287904,41.148400,-111.033100,FALLBACK_CITY_CENTROID
371511,42.050000,-104.933300,FALLBACK_CITY_CENTROID
368073,42.050000,-104.933300,FALLBACK_CITY_CENTROID
200072769,42.050000,-104.933300,FALLBACK_CITY_CENTROID
369897,42.050000,-104.933300,FALLBACK_CITY_CENTROID
200306201,42.050000,-104.933300,FALLBACK_CITY_CENTROID
200306446,42.050000,-104.933300,FALLBACK_CITY_CENTROID
370495,42.050000,-104.933300,FALLBACK_CITY_CENTROID
370255,42.050000,-104.933300,FALLBACK_CITY_CENTROID
370314,42.050000,-104.933300,FALLBACK_CITY_CENTROID
369154,42.050000,-104.933300,FALLBACK_CITY_CENTROID
200218990,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200267806,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200309169,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200042066,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200291515,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600037568,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200285485,44.526300,-109.253600,FALLBACK_CITY_CENTROID
271184,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200283637,44.526300,-109.253600,FALLBACK_CITY_CENTROID
271317,44.526300,-109.253600,FALLBACK_CITY_CENTROID
271352,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600047959,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200203493,44.526300,-109.253600,FALLBACK_CITY_CENTROID
266681,44.526300,-109.253600,FALLBACK_CITY_CENTROID
272016,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200010026,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600030448,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200199362,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200058721,44.526300,-109.253600,FALLBACK_CITY_CENTROID
272097,44.526300,-109.253600,FALLBACK_CITY_CENTROID
268522,44.526300,-109.253600,FALLBACK_CITY_CENTROID
79953,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200173901,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600039356,44.526300,-109.253600,FALLBACK_CITY_CENTROID
268678,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200110743,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200276171,44.526300,-109.253600,FALLBACK_CITY_CENTROID
263155,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200073537,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200020372,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200119795,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200162282,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200110617,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200114503,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200220021,44.526300,-109.253600,FALLBACK_CITY_CENTROID
600012844,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200308873,44.526300,-109.253600,FALLBACK_CITY_CENTROID
200286063,44.526300,-109.253600,FALLBACK_CITY_CENTROID
