voter_id,lat,lng,status
200305823,,,NO_MATCH
342739,,,NO_MATCH
348716,,,NO_MATCH
357062,,,NO_MATCH
213641,,,NO_MATCH
200171362,,,NO_MATCH
256451,,,NO_MATCH
222113,,,NO_MATCH
80226,,,NO_MATCH
200264242,,,NO_MATCH
600018694,,,NO_MATCH
129338,,,NO_MATCH
369845,,,NO_MATCH
200279053,,,NO_MATCH
200256172,,,NO_MATCH
200269937,,,NO_MATCH
200019054,,,NO_MATCH
368879,,,NO_MATCH
200279051,,,NO_MATCH
200196755,,,NO_MATCH
200278633,,,NO_MATCH
200197842,,,NO_MATCH
215031,,,NO_MATCH
69317,,,NO_MATCH
70664,,,NO_MATCH
74586,,,NO_MATCH
200306014,,,NO_MATCH
75311,,,NO_MATCH
336835,,,NO_MATCH
600002458,,,NO_MATCH
79462,,,NO_MATCH
200284065,,,NO_MATCH
600020779,,,NO_MATCH
200171908,,,NO_MATCH
200309408,,,NO_MATCH
200022444,,,NO_MATCH
200200031,,,NO_MATCH
200016843,,,NO_MATCH
200200030,,,NO_MATCH
74117,,,NO_MATCH
200145331,,,NO_MATCH
74116,,,NO_MATCH
372121,,,NO_MATCH
200305451,,,NO_MATCH
600062476,,,NO_MATCH
200081812,,,NO_MATCH
200224924,,,NO_MATCH
200224925,,,NO_MATCH
341057,,,NO_MATCH
341058,,,NO_MATCH
200025207,,,NO_MATCH
438607,,,NO_MATCH
438608,,,NO_MATCH
440926,,,NO_MATCH
200140452,,,NO_MATCH
216143,,,NO_MATCH
200096190,,,NO_MATCH
600044599,,,NO_MATCH
77062,,,NO_MATCH
266748,,,NO_MATCH
370732,,,NO_MATCH
200144814,,,NO_MATCH
335850,,,NO_MATCH
200301783,,,NO_MATCH
345408,,,NO_MATCH
347707,,,NO_MATCH
200285653,,,NO_MATCH
200235240,,,NO_MATCH
600068101,,,NO_MATCH
200131505,,,NO_MATCH
128613,,,NO_MATCH
200261665,,,NO_MATCH
200305906,,,NO_MATCH
214511,,,NO_MATCH
215602,,,NO_MATCH
70337,,,NO_MATCH
600019187,,,NO_MATCH
214094,,,NO_MATCH
359601,,,NO_MATCH
200234940,,,NO_MATCH
333776,,,NO_MATCH
200122118,,,NO_MATCH
130979,,,NO_MATCH
200238987,42.861910371931,-106.263661333526,OK
200001697,,,NO_MATCH
79158,,,NO_MATCH
200301316,,,NO_MATCH
200098362,,,NO_MATCH
215615,,,NO_MATCH
200195968,,,NO_MATCH
200065904,,,NO_MATCH
600055947,,,NO_MATCH
128608,,,NO_MATCH
71678,,,NO_MATCH
600001163,,,NO_MATCH
222026,,,NO_MATCH
200270279,,,NO_MATCH
200010831,,,NO_MATCH
336479,,,NO_MATCH
200157653,,,NO_MATCH
337698,,,NO_MATCH
337574,,,NO_MATCH
255961,,,NO_MATCH
69470,,,NO_MATCH
200108050,,,NO_MATCH
600036999,,,NO_MATCH
200256554,,,NO_MATCH
200312504,,,NO_MATCH
72411,,,NO_MATCH
227628,,,NO_MATCH
227629,,,NO_MATCH
255780,,,NO_MATCH
370785,,,NO_MATCH
600020357,,,NO_MATCH
200260261,,,NO_MATCH
200212690,,,NO_MATCH
200092482,,,NO_MATCH
259579,,,NO_MATCH
361706,,,NO_MATCH
370893,,,NO_MATCH
200113770,,,NO_MATCH
200144855,,,NO_MATCH
200106337,,,NO_MATCH
200132992,,,NO_MATCH
139185,,,NO_MATCH
77783,,,NO_MATCH
200056497,,,NO_MATCH
200222137,,,NO_MATCH
200145356,,,NO_MATCH
370684,,,NO_MATCH
200311795,,,NO_MATCH
200011852,,,NO_MATCH
200273479,,,NO_MATCH
200252658,,,NO_MATCH
258234,,,NO_MATCH
200273356,,,NO_MATCH
200277715,,,NO_MATCH
200160997,,,NO_MATCH
200109975,,,NO_MATCH
200133016,,,NO_MATCH
200090282,,,NO_MATCH
600035751,,,NO_MATCH
202351,,,NO_MATCH
200260042,,,NO_MATCH
200284698,,,NO_MATCH
363462,,,NO_MATCH
200118338,,,NO_MATCH
200260724,,,NO_MATCH
200227258,,,NO_MATCH
200228469,,,NO_MATCH
200131514,,,NO_MATCH
200115294,,,NO_MATCH
129973,,,NO_MATCH
70020,,,NO_MATCH
200066872,,,NO_MATCH
270340,,,NO_MATCH
200289231,,,NO_MATCH
200011846,,,NO_MATCH
200237041,,,NO_MATCH
222077,,,NO_MATCH
200111011,,,NO_MATCH
200284228,,,NO_MATCH
200207623,,,NO_MATCH
349500,41.582877027756,-109.222831637051,OK
200254059,,,NO_MATCH
372088,,,NO_MATCH
200083963,,,NO_MATCH
334126,,,NO_MATCH
200301137,,,NO_MATCH
203344,,,NO_MATCH
200129001,,,NO_MATCH
177755,,,NO_MATCH
200114553,,,NO_MATCH
200018980,,,NO_MATCH
200311050,,,NO_MATCH
200174729,,,NO_MATCH
200311055,,,NO_MATCH
213033,,,NO_MATCH
200016315,,,NO_MATCH
6124,,,NO_MATCH
363384,,,NO_MATCH
200231969,,,NO_MATCH
200080344,,,NO_MATCH
200305984,,,NO_MATCH
200176341,,,NO_MATCH
200292339,,,NO_MATCH
200164916,,,NO_MATCH
359560,,,NO_MATCH
358230,,,NO_MATCH
361990,,,NO_MATCH
200294400,,,NO_MATCH
200111033,,,NO_MATCH
372085,,,NO_MATCH
200287316,,,NO_MATCH
200154569,,,NO_MATCH
215689,,,NO_MATCH
11510,,,NO_MATCH
363390,,,NO_MATCH
214498,,,NO_MATCH
200312722,,,NO_MATCH
200216319,,,NO_MATCH
200235751,,,NO_MATCH
354438,,,NO_MATCH
600062844,,,NO_MATCH
200289266,41.582962133623,-109.222937096113,OK
200140815,,,NO_MATCH
200026837,,,NO_MATCH
337182,,,NO_MATCH
200026835,,,NO_MATCH
337181,,,NO_MATCH
11843,44.320032029606,-106.917978468017,OK
200171557,,,NO_MATCH
200111050,,,NO_MATCH
600045187,,,NO_MATCH
200273386,,,NO_MATCH
200068698,,,NO_MATCH
69519,,,NO_MATCH
25215,,,NO_MATCH
200309445,,,NO_MATCH
600045989,,,NO_MATCH
370479,,,NO_MATCH
11979,,,NO_MATCH
368723,,,NO_MATCH
600032796,,,NO_MATCH
214814,,,NO_MATCH
200277412,,,NO_MATCH
200175625,,,NO_MATCH
69520,,,NO_MATCH
200237916,,,NO_MATCH
8456,,,NO_MATCH
200230042,,,NO_MATCH
600067959,,,NO_MATCH
79454,,,NO_MATCH
200131013,,,NO_MATCH
337048,,,NO_MATCH
76501,,,NO_MATCH
200158857,,,NO_MATCH
200283787,,,NO_MATCH
77839,,,NO_MATCH
200096686,,,NO_MATCH
200306591,,,NO_MATCH
200255872,,,NO_MATCH
211571,,,NO_MATCH
200036706,,,NO_MATCH
339337,,,NO_MATCH
28946,,,NO_MATCH
200234192,,,NO_MATCH
200289533,,,NO_MATCH
200283311,,,NO_MATCH
342059,,,NO_MATCH
200007645,,,NO_MATCH
200019978,,,NO_MATCH
200008166,,,NO_MATCH
200210535,,,NO_MATCH
200117883,,,NO_MATCH
200279178,,,NO_MATCH
73121,,,NO_MATCH
200102266,,,NO_MATCH
200198483,,,NO_MATCH
200305714,,,NO_MATCH
600058670,,,NO_MATCH
69312,,,NO_MATCH
200067447,,,NO_MATCH
71872,,,NO_MATCH
200268155,,,NO_MATCH
200088485,,,NO_MATCH
154615,,,NO_MATCH
200067446,,,NO_MATCH
82989,,,NO_MATCH
62923,,,NO_MATCH
369619,,,NO_MATCH
200021351,,,NO_MATCH
200305601,,,NO_MATCH
200294665,,,NO_MATCH
200113959,,,NO_MATCH
200020265,,,NO_MATCH
7943,,,NO_MATCH
600032753,,,NO_MATCH
600055737,,,NO_MATCH
357081,,,NO_MATCH
200086037,,,NO_MATCH
200312427,,,NO_MATCH
4695,,,NO_MATCH
338570,,,NO_MATCH
200312666,,,NO_MATCH
71762,,,NO_MATCH
200312309,,,NO_MATCH
200273534,,,NO_MATCH
200237314,,,NO_MATCH
600033909,,,NO_MATCH
200307632,,,NO_MATCH
200275838,,,NO_MATCH
260779,,,NO_MATCH
600024753,,,NO_MATCH
200275837,,,NO_MATCH
372127,,,NO_MATCH
123613,,,NO_MATCH
80243,,,NO_MATCH
2266,,,NO_MATCH
200102284,,,NO_MATCH
73938,,,NO_MATCH
600052416,,,NO_MATCH
200088469,,,NO_MATCH
200200163,,,NO_MATCH
200190031,,,NO_MATCH
215057,,,NO_MATCH
200254468,,,NO_MATCH
200309021,,,NO_MATCH
200274298,,,NO_MATCH
200190038,,,NO_MATCH
369762,,,NO_MATCH
358747,,,NO_MATCH
200175532,,,NO_MATCH
200306435,,,NO_MATCH
600040308,,,NO_MATCH
335844,,,NO_MATCH
600037022,,,NO_MATCH
200238196,,,NO_MATCH
353187,,,NO_MATCH
200137847,,,NO_MATCH
342253,,,NO_MATCH
200173466,,,NO_MATCH
200310148,,,NO_MATCH
211142,,,NO_MATCH
200145311,,,NO_MATCH
200146521,,,NO_MATCH
79391,,,NO_MATCH
200159285,,,NO_MATCH
200268085,,,NO_MATCH
600062334,,,NO_MATCH
200308628,,,NO_MATCH
600020606,,,NO_MATCH
200301677,,,NO_MATCH
358760,,,NO_MATCH
211256,,,NO_MATCH
414673,,,NO_MATCH
200121493,,,NO_MATCH
362350,,,NO_MATCH
370757,,,NO_MATCH
200195067,,,NO_MATCH
200288461,,,NO_MATCH
200306332,,,NO_MATCH
200262414,,,NO_MATCH
200314076,,,NO_MATCH
200292162,,,NO_MATCH
200146099,,,NO_MATCH
362349,,,NO_MATCH
200005071,,,NO_MATCH
200310203,,,NO_MATCH
200143752,,,NO_MATCH
78080,,,NO_MATCH
600024152,,,NO_MATCH
73861,,,NO_MATCH
200199950,44.836221578651,-108.393541745598,OK
200198500,,,NO_MATCH
77790,,,NO_MATCH
77792,,,NO_MATCH
77793,,,NO_MATCH
200186524,,,NO_MATCH
200294399,,,NO_MATCH
200146581,,,NO_MATCH
200181070,,,NO_MATCH
200171779,,,NO_MATCH
